exercise_id,exercise_name,keep
CUSTOM:Active_Hang,Active Hang,
CANONICAL:FFDB:2687,Alternating Single Arm Dumbbell Hang Power Clean,
CUSTOM:Arched_Hang,Arched Hang,
CANONICAL:FFDB:1888,Bar Dead Hang,
CANONICAL:FFDB:776,Bar Dead Hang to Front Lever Pull Up,
CANONICAL:FFDB:2600,Bar False Grip Pull Up,
CANONICAL:FFDB:1374,Bar Front Lever Pull to Inverted Hang,
CANONICAL:FFDB:1381,Bar Hanging Knee Raise,
CANONICAL:FFDB:1382,Bar Hanging Knees to Elbows,
CANONICAL:FFDB:1383,Bar Hanging Knees to Wrists,
CANONICAL:FFDB:1572,Bar Hanging L Sit,
CANONICAL:FFDB:1388,Bar Hanging L Sit Flutter Kicks,
CANONICAL:FFDB:1384,Bar Hanging Leg Raise,
CANONICAL:FFDB:1386,Bar Hanging Oblique Knee Raise,
CANONICAL:FFDB:1385,Bar Hanging Toes to Bar,
CANONICAL:FFDB:1622,Bar Hanging Tuck L Sit,
CANONICAL:FFDB:1387,Bar Inverted Hang,
CANONICAL:FFDB:72,Bar Inverted Hanging Crunch,
EXERCISE:Barbell_Bench_Press_-_Medium_Grip,Barbell Bench Press - Medium Grip,
CANONICAL:FFDB:176,Barbell Close Grip Bench Press,
CANONICAL:FFDB:447,Barbell Close Grip Decline Bench Press,
CANONICAL:FFDB:446,Barbell Close Grip Incline Bench Press,
CANONICAL:FFDB:2923,Barbell Close Grip Incline Push Up,
CANONICAL:FFDB:672,Barbell Deficit Snatch Grip Deadlift,
CANONICAL:FFDB:442,Barbell Hang Power Clean,
CANONICAL:FFDB:2608,Barbell Hang Power Clean to Front Rack Squat,
CANONICAL:FFDB:2612,Barbell Hang Power Clean to Overhead Press,
CANONICAL:FFDB:2610,Barbell Hang Power Clean to Push Jerk,
CANONICAL:FFDB:2611,Barbell Hang Power Clean to Push Press,
CANONICAL:FFDB:2609,Barbell Hang Power Clean to Split Jerk,
CANONICAL:FFDB:3141,Barbell Hang Power Clean to Squat Jerk,
CANONICAL:FFDB:1773,Barbell Hang Power Snatch,
CANONICAL:FFDB:1133,Barbell Hang Squat Clean,
CANONICAL:FFDB:2616,Barbell Hang Squat Clean to Overhead Press,
CANONICAL:FFDB:2614,Barbell Hang Squat Clean to Push Jerk,
CANONICAL:FFDB:2615,Barbell Hang Squat Clean to Push Press,
CANONICAL:FFDB:2613,Barbell Hang Squat Clean to Split Jerk,
CANONICAL:FFDB:3140,Barbell Hang Squat Clean to Squat Jerk,
CANONICAL:FFDB:666,Barbell Hang Squat Clean to Thruster,
CANONICAL:FFDB:1774,Barbell Hang Squat Snatch,
EXERCISE:Barbell_Incline_Bench_Press_-_Medium_Grip,Barbell Incline Bench Press - Medium Grip,
CANONICAL:FFDB:915,Barbell Reverse Grip Bench Press,
CANONICAL:FFDB:508,Barbell Reverse Grip Bent Over Row,
CANONICAL:FFDB:1093,Barbell Reverse Grip Bicep Curl,
CANONICAL:FFDB:3127,Barbell Reverse Grip Decline Bench Press,
CANONICAL:FFDB:906,Barbell Reverse Grip Front Raise,
CANONICAL:FFDB:3126,Barbell Reverse Grip Incline Bench Press,
CANONICAL:FFDB:2194,Barbell Reverse Grip Incline Push Up,
CANONICAL:FFDB:437,Barbell Reverse Grip Overhead Press,
CANONICAL:FFDB:438,Barbell Seated Reverse Grip Overhead Press,
