interval_id,session_id,duration_sec,hr_peak,hrr60,r2_60,valley_pos,valley_prom,valley_rel,run_length,run_start,run_crosses_60,peak_in_interval,category,label
150,15,51,162,10,0.752,38.0,6.0,60.0,11,38,False,False,edge_case_r2,
47,3,36,142,12,0.76,21.0,5.0,41.66666666666667,9,22,False,False,edge_case_r2,
230,57,52,112,14,0.764,36.0,8.0,57.14285714285714,13,37,False,False,edge_case_r2,
43,41,113,121,19,0.765,,,,10,91,False,False,edge_case_r2,
147,15,30,131,18,0.765,17.0,5.0,27.77777777777778,10,18,False,False,edge_case_r2,
207,21,35,146,19,0.77,20.0,5.0,26.31578947368421,9,21,False,False,edge_case_r2,
68,6,61,153,22,0.775,49.0,7.0,31.818181818181817,9,50,True,False,edge_case_r2,
324,32,31,103,12,0.775,15.0,5.0,41.66666666666667,8,16,False,False,edge_case_r2,
188,53,118,162,14,0.778,,,,8,108,False,False,edge_case_r2,
271,26,49,145,22,0.778,38.0,10.0,45.45454545454545,9,38,False,False,edge_case_r2,
125,12,34,149,20,0.78,22.0,5.0,25.0,10,22,False,False,edge_case_r2,
237,57,52,135,18,0.78,40.0,9.0,50.0,10,40,False,False,edge_case_r2,
232,57,51,117,14,0.784,39.0,6.0,42.857142857142854,10,39,False,False,edge_case_r2,
76,45,96,120,19,0.794,,,,9,85,False,False,edge_case_r2,
99,47,50,153,14,0.799,39.0,7.0,50.0,10,38,False,False,edge_case_r2,
114,11,80,139,18,0.803,,,,13,65,False,False,edge_case_r2,
209,21,44,141,12,0.804,31.0,6.0,50.0,10,32,False,False,edge_case_r2,
260,25,120,148,10,0.808,,,,9,50,True,False,edge_case_r2,
49,4,107,121,18,0.809,,,,13,92,False,False,edge_case_r2,
28,38,100,139,15,0.812,,,,10,22,False,False,edge_case_r2,
166,17,104,155,13,0.813,,,,9,93,False,False,edge_case_r2,
2,1,56,136,9,0.816,42.0,5.0,55.55555555555556,13,41,False,False,edge_case_r2,
145,15,53,114,11,0.835,41.0,7.0,63.63636363636363,10,41,False,False,edge_case_r2,
194,54,50,106,9,0.835,40.0,6.0,66.66666666666666,8,40,False,False,edge_case_r2,
171,18,50,167,15,0.837,29.0,7.0,46.666666666666664,6,29,False,False,edge_case_r2,
300,30,85,93,10,0.839,,,,13,39,False,False,edge_case_r2,
353,69,58,111,13,0.839,41.0,7.0,53.84615384615385,8,48,True,False,edge_case_r2,
80,45,47,146,13,0.84,33.0,6.0,46.15384615384615,11,34,False,False,edge_case_r2,
120,48,96,169,21,0.842,,,,14,80,False,False,edge_case_r2,
258,25,82,124,12,0.842,,,,10,70,False,False,edge_case_r2,
204,21,56,105,12,0.844,39.0,8.0,66.66666666666666,10,44,False,False,edge_case_r2,
267,26,54,127,11,0.845,42.0,5.0,45.45454545454545,8,43,False,False,edge_case_r2,
325,32,81,120,18,0.847,,,,8,71,False,False,edge_case_r2,
112,11,58,107,9,0.799,40.0,6.0,66.66666666666666,12,44,True,False,edge_case_run,
22,2,64,127,10,0.863,49.0,7.0,70.0,11,51,True,False,edge_case_run,
370,71,58,139,10,0.887,45.0,6.0,60.0,10,46,True,False,edge_case_run,
132,13,64,137,18,0.893,49.0,12.0,66.66666666666666,10,52,True,False,edge_case_run,
291,28,61,141,23,0.894,46.0,8.0,34.78260869565217,10,49,True,False,edge_case_run,
143,14,67,142,12,0.919,49.0,5.0,41.66666666666667,14,51,True,False,edge_case_run,
213,22,60,118,14,0.928,47.0,5.0,35.714285714285715,10,48,True,False,edge_case_run,
107,10,65,140,22,0.979,49.0,6.0,27.27272727272727,13,50,True,False,edge_case_run,
254,25,55,114,11,0.781,44.0,9.0,81.81818181818183,9,44,False,False,edge_case_valley,
45,3,70,142,25,0.794,56.0,6.0,24.0,11,26,False,False,edge_case_valley,
339,33,73,143,9,0.818,58.0,11.0,122.22222222222223,12,59,True,False,edge_case_valley,
