interval_id,session_id,duration_sec,hr_peak,hrr60_recorded,r2_60_recorded,fit_success,fit_hr_peak,fit_hr_asymptote,fit_tau,r2_early,max_residual,max_residual_at,accumulated_error,residual_at_60,late_residual_trend,pred_30,actual_30,resid_30,pred_35,actual_35,resid_35,pred_40,actual_40,resid_40,pred_45,actual_45,resid_45,pred_50,actual_50,resid_50,pred_55,actual_55,resid_55,pred_60,actual_60,resid_60
1,1,88,137,14,0.921,True,137.3,110.0,122.6,0.936,4.737830450949957,60,12.7,-4.7,-0.319,131.4,130.4,-1.0,130.5,128.2,-2.3,129.7,128.0,-1.7,128.9,128.6,-0.3,128.2,129.4,1.2,127.4,126.0,-1.4,126.7,122.0,-4.7
6,34,65,149,16,0.977,True,151.8,116.0,52.2,0.945,2.256039688906071,60,5.0,2.3,0.136,136.2,136.0,-0.2,134.3,135.8,1.5,132.6,133.0,0.4,131.1,131.0,-0.1,129.7,130.2,0.5,128.5,128.6,0.1,127.3,129.6,2.3
7,36,89,134,12,0.973,True,134.5,109.0,157.1,0.926,3.5899099247385777,60,11.6,-3.6,-0.16,130.0,129.2,-0.8,129.4,128.0,-1.4,128.8,127.4,-1.4,128.1,127.0,-1.1,127.5,126.2,-1.3,127.0,125.0,-2.0,126.4,122.8,-3.6
9,36,120,158,19,0.895,True,158.7,151.9,16.4,0.742,11.269064146907425,60,48.6,-11.3,-0.03,153.0,153.4,0.4,152.7,152.0,-0.7,152.5,147.8,-4.7,152.3,141.8,-10.5,152.2,141.4,-10.8,152.1,142.0,-10.1,152.1,140.8,-11.3
10,36,120,166,19,0.972,True,167.9,137.0,101.6,0.656,5.106432089097609,60,24.9,-5.1,-0.106,160.0,157.4,-2.6,158.9,155.6,-3.3,157.8,154.2,-3.6,156.8,153.2,-3.6,155.9,153.0,-2.9,155.0,151.2,-3.8,154.1,149.0,-5.1
11,36,120,171,14,0.902,True,172.1,147.0,149.9,0.8,7.159294768997199,55,22.7,-6.8,-0.322,167.5,167.2,-0.3,166.8,167.0,0.2,166.2,166.6,0.4,165.6,163.8,-1.8,164.9,158.8,-6.1,164.4,157.2,-7.2,163.8,157.0,-6.8
12,37,62,131,14,0.837,True,130.1,100.0,118.0,0.588,7.819679234496206,40,34.4,-1.3,0.395,123.3,120.0,-3.3,122.3,115.8,-6.5,121.4,113.6,-7.8,120.5,113.2,-7.3,119.7,114.8,-4.9,118.9,115.6,-3.3,118.1,116.8,-1.3
14,37,70,125,15,0.943,True,124.7,97.0,108.9,0.906,5.993180778136022,40,27.5,-3.4,0.073,118.0,116.8,-1.2,117.1,113.6,-3.5,116.2,110.2,-6.0,115.3,110.4,-4.9,114.5,110.8,-3.7,113.7,109.0,-4.7,113.0,109.6,-3.4
15,37,120,158,14,0.931,True,158.7,133.0,129.2,0.901,5.175193251767439,60,14.5,-5.2,-0.315,153.4,152.8,-0.6,152.6,151.8,-0.8,151.9,151.8,-0.1,151.2,150.6,-0.6,150.5,147.8,-2.7,149.8,145.2,-4.6,149.2,144.0,-5.2
16,37,120,166,11,0.907,True,165.8,143.0,286.5,0.762,6.717598475011101,60,28.7,-6.7,-0.13,163.6,163.0,-0.6,163.2,161.6,-1.6,162.9,159.8,-3.1,162.5,157.8,-4.7,162.2,156.4,-5.8,161.8,155.6,-6.2,161.5,154.8,-6.7
