interval_id,hr_peak,hrr60_abs,tau_recorded,r2_recorded,r2_full,tau_full,r2_first,tau_first,r2_second,tau_second,r2_delta,r2_ratio,hr_drop_first,hr_drop_second
1,137,14,300.0,0.921,0.8966,140.0,0.9363,122.6,0.4175,172.2,0.5188,0.4459,7.0,8.0
6,149,16,34.2,0.977,0.9785,56.7,0.9447,52.2,0.9177,26.0,0.027,0.9714,13.0,6.0
7,134,12,300.0,0.973,0.9674,147.9,0.9257,157.1,0.8883,142.4,0.0374,0.9596,5.0,6.0
9,158,19,267.9,0.895,0.8428,93.9,0.742,16.4,0.8831,13.5,-0.1411,1.1902,4.0,12.0
10,166,19,112.7,0.972,0.9309,93.0,0.6557,101.6,0.9318,103.9,-0.2761,1.4211,8.0,8.0
11,171,14,300.0,0.902,0.8206,119.2,0.7998,149.9,0.8717,57.6,-0.0719,1.0899,3.0,10.0
14,125,15,243.2,0.943,0.9347,93.3,0.9063,108.9,0.8812,6.2,0.0251,0.9723,8.0,7.0
15,158,14,300.0,0.931,0.9122,126.6,0.9011,129.2,0.8682,79.9,0.0329,0.9635,6.0,9.0
16,166,11,300.0,0.907,0.8841,134.8,0.7617,286.5,0.983,29.2,-0.2213,1.2905,3.0,8.0
17,170,11,300.0,0.93,0.9084,142.1,0.931,182.7,0.9761,79.6,-0.0451,1.0484,3.0,8.0
18,121,16,22.7,0.936,0.9284,22.3,0.9182,45.6,0.4871,3.8,0.4311,0.5305,14.0,2.0
20,132,31,120.7,0.959,0.9335,59.3,0.9242,62.2,0.9255,24.5,-0.0013,1.0014,16.0,16.0
23,154,17,58.2,0.994,0.991,56.2,0.9745,64.0,0.9766,102.2,-0.0021,1.0022,11.0,6.0
24,155,19,300.0,0.718,0.6859,136.0,0.4043,1.9,0.9469,51.3,-0.5426,2.3421,2.0,18.0
25,153,22,300.0,0.456,0.4406,190.8,0.3776,5.4,0.7525,56.6,-0.3749,1.9928,1.0,21.0
26,159,25,212.5,0.957,0.9329,90.1,0.9403,81.2,0.8786,60.5,0.0617,0.9344,9.0,17.0
27,136,16,20.7,0.961,0.9585,20.5,0.9738,48.6,0.6282,222.9,0.3456,0.6451,15.0,2.0
28,139,15,12.6,0.812,0.8031,12.1,0.9044,15.4,0.7737,129.3,0.1307,0.8555,9.0,7.0
29,145,18,195.8,0.947,0.919,86.8,0.8583,77.2,0.5618,92.8,0.2965,0.6545,12.0,6.0
30,147,23,181.3,0.96,0.9451,71.6,0.7576,78.9,0.9683,75.5,-0.2107,1.2781,13.0,11.0
31,150,19,65.1,0.962,0.9514,64.6,0.8985,60.4,0.7146,100.9,0.1839,0.7953,11.0,10.0
32,157,30,144.5,0.965,0.9409,68.6,0.8209,67.7,0.9283,50.1,-0.1074,1.1308,14.0,16.0
33,155,15,300.0,0.954,0.9216,106.5,0.8894,87.1,0.8116,73.2,0.0778,0.9125,7.0,8.0
