session_id,allowed_up,smooth,median_k,ma_k,duration_min,total_detected,valid,rejected,hrr60_count,hrr60_mean,hrr60_median,hrr60_std,hrr120_count
70,0.1,3/3,3,3,45.13333333333333,1,1,0,1,3.999999999999986,3.999999999999986,0.0,1
69,0.1,3/3,3,3,41.233333333333334,2,2,0,2,18.500000000000007,18.500000000000007,6.500000000000007,2
68,0.1,3/3,3,3,31.716666666666665,1,1,0,1,9.333333333333343,9.333333333333343,0.0,1
65,0.1,3/3,3,3,20.366666666666667,1,0,1,0,,,,0
64,0.1,3/3,3,3,41.38333333333333,3,2,1,2,20.333333333333336,20.333333333333336,0.3333333333333357,2
33,0.1,3/3,3,3,67.5,5,3,2,3,19.22222222222223,19.0,1.3698697784375546,3
70,0.1,5/5,5,5,45.13333333333333,1,1,0,1,3.999999999999986,3.999999999999986,0.0,1
69,0.1,5/5,5,5,41.233333333333334,2,2,0,2,19.00000000000002,19.00000000000002,6.399999999999999,2
68,0.1,5/5,5,5,31.716666666666665,1,1,0,1,9.800000000000026,9.800000000000026,0.0,1
65,0.1,5/5,5,5,20.366666666666667,1,0,1,0,,,,0
64,0.1,5/5,5,5,41.38333333333333,3,2,1,2,20.200000000000003,20.200000000000003,0.4000000000000057,2
33,0.1,5/5,5,5,67.5,5,3,2,3,19.466666666666665,19.0,1.426728970602176,3
70,0.1,7/7,7,7,45.13333333333333,1,1,0,1,4.0,4.0,0.0,1
69,0.1,7/7,7,7,41.233333333333334,3,2,1,2,19.14285714285716,19.14285714285716,5.857142857142854,2
68,0.1,7/7,7,7,31.716666666666665,3,1,2,1,10.142857142857139,10.142857142857139,0.0,1
65,0.1,7/7,7,7,20.366666666666667,1,0,1,0,,,,0
64,0.1,7/7,7,7,41.38333333333333,3,2,1,2,19.85714285714287,19.85714285714287,0.2857142857142989,2
33,0.1,7/7,7,7,67.5,6,3,3,3,19.76190476190476,19.285714285714306,1.4396396626505603,3
70,0.2,3/3,3,3,45.13333333333333,1,1,0,1,3.999999999999986,3.999999999999986,0.0,1
69,0.2,3/3,3,3,41.233333333333334,2,2,0,2,18.500000000000007,18.500000000000007,6.500000000000007,2
68,0.2,3/3,3,3,31.716666666666665,1,1,0,1,9.333333333333343,9.333333333333343,0.0,1
65,0.2,3/3,3,3,20.366666666666667,1,0,1,0,,,,0
64,0.2,3/3,3,3,41.38333333333333,3,2,1,2,20.333333333333336,20.333333333333336,0.3333333333333357,2
33,0.2,3/3,3,3,67.5,5,3,2,3,19.22222222222223,19.0,1.3698697784375546,3
70,0.2,5/5,5,5,45.13333333333333,1,1,0,1,3.999999999999986,3.999999999999986,0.0,1
69,0.2,5/5,5,5,41.233333333333334,2,2,0,2,19.00000000000002,19.00000000000002,6.399999999999999,2
68,0.2,5/5,5,5,31.716666666666665,1,1,0,1,9.800000000000026,9.800000000000026,0.0,1
65,0.2,5/5,5,5,20.366666666666667,1,0,1,0,,,,0
64,0.2,5/5,5,5,41.38333333333333,3,2,1,2,19.80000000000001,19.80000000000001,0.7999999999999972,2
33,0.2,5/5,5,5,67.5,5,2,3,2,19.600000000000016,19.600000000000016,0.9999999999999929,2
70,0.2,7/7,7,7,45.13333333333333,7,6,1,6,16.285714285714274,19.214285714285694,9.145089013302407,6
69,0.2,7/7,7,7,41.233333333333334,6,5,1,5,16.000000000000014,8.857142857142861,10.674784326072507,5
68,0.2,7/7,7,7,31.716666666666665,10,4,6,4,7.178571428571416,8.214285714285708,3.688613201047091,4
65,0.2,7/7,7,7,20.366666666666667,7,0,7,0,,,,0
64,0.2,7/7,7,7,41.38333333333333,7,6,1,6,11.619047619047626,12.571428571428584,7.937968119643771,6
33,0.2,7/7,7,7,67.5,15,8,7,8,8.142857142857132,4.571428571428548,6.718084032015712,8
70,0.3,3/3,3,3,45.13333333333333,1,1,0,1,3.999999999999986,3.999999999999986,0.0,1
69,0.3,3/3,3,3,41.233333333333334,2,2,0,2,18.500000000000007,18.500000000000007,6.500000000000007,2
68,0.3,3/3,3,3,31.716666666666665,1,1,0,1,9.333333333333343,9.333333333333343,0.0,1
65,0.3,3/3,3,3,20.366666666666667,1,0,1,0,,,,0
64,0.3,3/3,3,3,41.38333333333333,3,2,1,2,20.333333333333336,20.333333333333336,0.3333333333333357,2
33,0.3,3/3,3,3,67.5,5,3,2,3,19.22222222222223,19.0,1.3698697784375546,3
70,0.3,5/5,5,5,45.13333333333333,5,4,1,4,16.400000000000006,19.400000000000006,9.829547293746547,4
69,0.3,5/5,5,5,41.233333333333334,7,5,2,5,16.200000000000003,9.400000000000006,11.156343487003268,5
68,0.3,5/5,5,5,31.716666666666665,10,4,6,4,6.199999999999992,7.699999999999996,4.173727350941833,4
65,0.3,5/5,5,5,20.366666666666667,6,0,6,0,,,,0
64,0.3,5/5,5,5,41.38333333333333,7,6,1,6,11.366666666666672,12.100000000000001,7.981993624541572,6
33,0.3,5/5,5,5,67.5,13,8,5,8,8.000000000000004,5.6000000000000085,6.811754546370564,8
70,0.3,7/7,7,7,45.13333333333333,13,7,6,7,16.183673469387752,19.428571428571416,10.641717316230826,7
69,0.3,7/7,7,7,41.233333333333334,9,7,2,7,12.795918367346937,7.285714285714278,10.491106088274739,7
68,0.3,7/7,7,7,31.716666666666665,14,4,10,4,5.857142857142854,5.714285714285694,3.159049198213715,4
65,0.3,7/7,7,7,20.366666666666667,6,0,6,0,,,,0
64,0.3,7/7,7,7,41.38333333333333,14,7,7,7,10.12244897959185,9.57142857142857,8.151419977329946,7
33,0.3,7/7,7,7,67.5,21,11,10,11,6.792207792207787,5.0,6.225616967693755,11
70,0.5,3/3,3,3,45.13333333333333,7,5,2,5,12.93333333333332,20.333333333333314,11.437559957341325,5
69,0.5,3/3,3,3,41.233333333333334,9,7,2,7,16.999999999999993,12.0,9.896287583559197,7
68,0.5,3/3,3,3,31.716666666666665,12,4,8,4,5.083333333333325,4.666666666666664,3.3281209246193053,4
65,0.5,3/3,3,3,20.366666666666667,8,0,8,0,,,,0
64,0.5,3/3,3,3,41.38333333333333,11,7,4,7,11.285714285714286,10.000000000000014,7.895002581357223,7
33,0.5,3/3,3,3,67.5,18,7,11,7,10.095238095238091,7.0,5.616625789633048,7
70,0.5,5/5,5,5,45.13333333333333,12,6,6,6,14.266666666666675,19.100000000000016,11.339410135550368,6
69,0.5,5/5,5,5,41.233333333333334,9,6,3,6,9.066666666666675,5.900000000000006,11.459881713564448,6
68,0.5,5/5,5,5,31.716666666666665,14,4,10,4,4.900000000000002,4.899999999999999,3.275667870831846,4
65,0.5,5/5,5,5,20.366666666666667,5,0,5,0,,,,0
64,0.5,5/5,5,5,41.38333333333333,15,7,8,7,10.342857142857147,9.600000000000009,8.683458353651032,7
33,0.5,5/5,5,5,67.5,22,12,10,12,7.200000000000002,5.0,5.70672118354022,12
70,0.5,7/7,7,7,45.13333333333333,13,9,4,9,15.095238095238098,18.428571428571416,10.033955955097836,9
69,0.5,7/7,7,7,41.233333333333334,13,8,5,8,7.464285714285708,5.428571428571416,10.397887834967813,8
68,0.5,7/7,7,7,31.716666666666665,14,5,9,5,3.971428571428558,2.1428571428571104,3.3226495451672218,5
65,0.5,7/7,7,7,20.366666666666667,2,0,2,0,,,,0
64,0.5,7/7,7,7,41.38333333333333,16,8,8,8,10.696428571428573,12.214285714285708,8.344446246652046,8
33,0.5,7/7,7,7,67.5,22,11,11,11,7.285714285714281,5.428571428571445,5.5237722046806095,11
70,0.7,3/3,3,3,45.13333333333333,16,10,6,10,14.066666666666668,18.500000000000007,9.257789512981311,10
69,0.7,3/3,3,3,41.233333333333334,15,6,9,6,8.111111111111112,6.166666666666664,15.181209958447619,6
68,0.7,3/3,3,3,31.716666666666665,13,2,11,2,4.000000000000007,4.000000000000007,2.000000000000007,2
65,0.7,3/3,3,3,20.366666666666667,1,1,0,1,-10.0,-10.0,0.0,1
64,0.7,3/3,3,3,41.38333333333333,14,9,5,9,8.592592592592592,13.666666666666671,11.790116993082062,9
33,0.7,3/3,3,3,67.5,19,12,7,12,4.388888888888887,3.6666666666666714,6.665046099328406,12
70,0.7,5/5,5,5,45.13333333333333,16,9,7,9,15.555555555555555,18.599999999999994,9.064106392323415,9
69,0.7,5/5,5,5,41.233333333333334,14,6,8,6,9.866666666666672,5.8000000000000185,11.375802779975078,6
68,0.7,5/5,5,5,31.716666666666665,12,3,9,3,2.8666666666666694,1.5999999999999943,2.6849374087469724,3
65,0.7,5/5,5,5,20.366666666666667,1,1,0,1,-9.199999999999989,-9.199999999999989,0.0,1
64,0.7,5/5,5,5,41.38333333333333,13,9,4,9,8.11111111111111,13.400000000000006,11.586241308307075,9
33,0.7,5/5,5,5,67.5,19,12,7,12,5.883333333333329,3.6000000000000085,5.369331636453659,12
